trade_date,stock_code,predicted_return,actual_return,confidence,direction_prob,model_version,inference_time
2025-07-31,601138,0.003976605832576752,-0.04770538583397865,0.003976605832576752,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,601012,0.0026735737919807434,0.01011338084936142,0.0026735737919807434,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,300750,0.0025364458560943604,-0.005865351762622595,0.0025364458560943604,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,300308,0.002467893064022064,-0.03260129690170288,0.002467893064022064,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,300454,0.0014545619487762451,0.03126528859138489,0.0014545619487762451,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,002594,0.0014396905899047852,0.005324201658368111,0.0014396905899047852,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,000977,0.0012105777859687805,-0.030391082167625427,0.0012105777859687805,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,600887,0.0011438354849815369,0.0036450165789574385,0.0011438354849815369,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,603501,0.001077018678188324,-0.014501361176371574,0.001077018678188324,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,688981,0.0010461211204528809,-0.01361177396029234,0.0010461211204528809,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,600036,0.0009623542428016663,-0.0013212768826633692,0.0009623542428016663,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,002371,0.000961795449256897,-0.01624196395277977,0.000961795449256897,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,601318,0.0008650049567222595,-0.008382185362279415,0.0008650049567222595,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,000858,0.0007461979985237122,-0.0012424974702298641,0.0007461979985237122,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,600584,0.0007031112909317017,-0.015198803506791592,0.0007031112909317017,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,000568,0.0007003098726272583,0.001300238654948771,0.0007003098726272583,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,002230,0.0005981847643852234,-0.0032838277984410524,0.0005981847643852234,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,002465,0.0005598366260528564,-0.0037874847184866667,0.0005598366260528564,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,300782,0.0005048736929893494,0.0014825420221313834,0.0005048736929893494,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,688012,0.00015582889318466187,-0.02621128037571907,0.00015582889318466187,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-07-31,600519,-0.0002546235918998718,-0.003290115389972925,0.0002546235918998718,0.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,600438,0.003940656781196594,-0.02507716603577137,0.003940656781196594,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,601138,0.0027260184288024902,-0.0010238034883514047,0.0027260184288024902,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,300750,0.0019384771585464478,0.012874358333647251,0.0019384771585464478,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,300308,0.0019127801060676575,-0.010546771809458733,0.0019127801060676575,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,601012,0.0018238648772239685,-0.008827537298202515,0.0018238648772239685,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,002594,0.0010575875639915466,-0.008738153614103794,0.0010575875639915466,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,600036,0.0009705051779747009,0.01072605699300766,0.0009705051779747009,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,000977,0.000814296305179596,-0.0005524963489733636,0.000814296305179596,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,600887,0.000785432755947113,-0.001092558610253036,0.000785432755947113,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,603501,0.0007476732134819031,0.0006720635574311018,0.0007476732134819031,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,000568,0.0004463866353034973,0.008011824451386929,0.0004463866353034973,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,002371,0.0004358142614364624,-0.004683364182710648,0.0004358142614364624,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,002230,0.0004001706838607788,0.009206550195813179,0.0004001706838607788,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,688981,0.0003950148820877075,0.019960295408964157,0.0003950148820877075,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,000858,0.00036388635635375977,-0.0006581335328519344,0.00036388635635375977,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,002465,0.00023040175437927246,0.04523513838648796,0.00023040175437927246,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,601318,0.000196896493434906,0.00016721941938158125,0.000196896493434906,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,600519,9.038299322128296e-05,0.0014101451961323619,9.038299322128296e-05,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,688012,-0.00011477619409561157,0.016957808285951614,0.00011477619409561157,0.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,300454,-0.0002520829439163208,-0.018187230452895164,0.0002520829439163208,0.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,600584,-0.0003652125597000122,0.005221536848694086,0.0003652125597000122,0.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-01,300782,-0.0005864575505256653,0.007354564964771271,0.0005864575505256653,0.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-04,600438,0.003147408366203308,0.02362191490828991,0.003147408366203308,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-04,002465,0.001958794891834259,0.015098022297024727,0.001958794891834259,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-04,300750,0.0015495717525482178,-0.0029275694396346807,0.0015495717525482178,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-04,601012,0.0014203712344169617,0.008827537298202515,0.0014203712344169617,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-04,601138,0.0014114752411842346,0.06133236363530159,0.0014114752411842346,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-04,300308,0.0013784542679786682,0.011922094970941544,0.0013784542679786682,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-04,002594,0.001078389585018158,-0.00021186762023717165,0.001078389585018158,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-04,688981,0.0007028132677078247,-0.0007774754776619375,0.0007028132677078247,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-04,600036,0.0005718693137168884,0.007777070626616478,0.0005718693137168884,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-04,002371,0.0005698353052139282,0.0007310131331905723,0.0005698353052139282,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-04,603501,0.00041328370571136475,0.017196912318468094,0.00041328370571136475,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
2025-08-04,688012,0.00024606287479400635,-0.0031545767560601234,0.00024606287479400635,1.0,vanilla_transformer_v10,2026-08-03 14:03:00
